arch	circuit	vpr_status	min_chan_width	pack_time	place_time	min_chan_width_route_time	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	unabsorb_ff	num_memories	num_mult	error	
k4_N10_memSize65536_memData32.xml	mcml.v	success	66	4429.15	10808.2	8858.53	172738	171103	53480	12169	36	33	4599	81	30		
k4_N10_memSize65536_memData32.xml	mkDelayWorker32B.v	success	80	27.63	129.4	495.2	11983	12536	5499	769	511	553	7	85	0		
k4_N10_memSize65536_memData32.xml	mkPktMerge.v	success	48	1.35	4.54	25.24	1079	1235	985	28	311	156	0	30	0		
k4_N10_memSize65536_memData32.xml	mkSMAdapter4B.v	success	46	5.24	19.55	25.23	4097	4302	1610	279	195	205	5	10	0		
k4_N10_memSize65536_memData32.xml	or1200.v	success	56	7.33	51.38	86.94	5412	5743	2489	427	385	394	1	4	1		
k4_N10_memSize65536_memData32.xml	raygentop.v	success	56	8.19	24.75	23.45	4614	4730	1921	303	239	305	282	1	7		
k4_N10_memSize131072_memData32.xml	boundtop.v	success	38	12.55	34	16.58	5940	6132	2138	399	275	192	17	1	0		
k4_N10_memSize131072_memData32.xml	ch_intrinsics.v	success	40	0.71	2.76	1.49	953	1083	396	62	99	130	1	1	0		
k4_N10_memSize131072_memData32.xml	LU8PEEng.v	success	76	197.27	752.41	1387.7	39205	38931	18641	3486	114	102	3782	89	8		
k4_N10_memSize131072_memData32.xml	LU32PEEng.v	success	102	1835.34	8774.45	64606	134226	132824	64041	12090	114	102	12511	329	32		
k4_N10_memSize131072_memData32.xml	mcml.v	success	64	4414.73	10763.8	6778.19	172738	171103	53480	12169	36	33	4599	42	30		
k4_N10_memSize131072_memData32.xml	mkDelayWorker32B.v	success	82	27.9	131.09	511.06	11983	12536	5499	769	511	553	7	85	0		
k4_N10_memSize131072_memData32.xml	mkPktMerge.v	success	42	1.4	4.56	21.52	1079	1235	985	28	311	156	0	30	0		
k4_N10_memSize131072_memData32.xml	mkSMAdapter4B.v	success	50	5.29	19.78	20.25	4097	4302	1610	279	195	205	5	10	0		
k4_N10_memSize131072_memData32.xml	or1200.v	success	56	7.21	50.15	72.21	5412	5743	2489	427	385	394	1	4	1		
k4_N10_memSize131072_memData32.xml	raygentop.v	success	52	8.18	24.92	52.97	4614	4730	1921	303	239	305	282	1	7		
k4_N10_memSize262144_memData32.xml	boundtop.v	success	40	12.49	34.26	13.52	5940	6132	2138	399	275	192	17	1	0		
k4_N10_memSize262144_memData32.xml	ch_intrinsics.v	success	36	0.67	2.82	4.45	953	1083	396	62	99	130	1	1	0		
k4_N10_memSize262144_memData32.xml	LU8PEEng.v	success	78	199.44	747.08	1338.13	39205	38931	18641	3486	114	102	3782	89	8		
k4_N10_memSize262144_memData32.xml	LU32PEEng.v	success	108	1842.13	8761.21	75193.7	134226	132824	64041	12090	114	102	12511	329	32		
k4_N10_memSize262144_memData32.xml	mcml.v	success	62	4421.15	10204.1	6772.86	172738	171103	53480	12169	36	33	4599	27	30		
k4_N10_memSize262144_memData32.xml	mkDelayWorker32B.v	success	82	28.05	133.22	403.52	11983	12536	5499	769	511	553	7	85	0		
k4_N10_memSize262144_memData32.xml	mkPktMerge.v	success	44	1.43	4.7	25.53	1079	1235	985	28	311	156	0	30	0		
k4_N10_memSize262144_memData32.xml	mkSMAdapter4B.v	success	50	5.31	19.26	24.92	4097	4302	1610	279	195	205	5	10	0		
k4_N10_memSize262144_memData32.xml	or1200.v	success	58	7.18	51.01	55.37	5412	5743	2489	427	385	394	1	4	1		
k4_N10_memSize262144_memData32.xml	raygentop.v	success	52	8.11	24.75	33.06	4614	4730	1921	303	239	305	282	1	7		
