Netlist file: e64.net   Architecture file: sample.arch
block	x	y	name	subblock
306	13	9	[863]	0
307	12	8	[866]	0
308	7	11	[870]	0
309	2	12	[874]	0
310	2	10	[876]	0
311	11	6	[878]	0
312	11	5	[881]	0
313	14	4	[884]	0
314	13	4	[885]	0
315	5	12	[889]	0
316	9	6	[891]	0
317	9	2	[892]	0
318	9	4	[894]	0
319	8	2	[895]	0
320	11	14	[899]	0
321	8	12	[900]	0
322	8	16	[904]	0
323	8	17	[905]	0
324	6	4	[906]	0
325	5	3	[907]	0
326	4	5	[909]	0
327	5	1	[912]	0
328	16	13	[913]	0
329	10	16	[915]	0
330	7	14	[916]	0
331	6	16	[917]	0
332	17	6	[919]	0
333	17	10	[921]	0
334	14	10	[922]	0
335	12	10	[924]	0
336	16	8	[925]	0
337	14	9	[926]	0
338	15	9	[927]	0
339	12	14	[929]	0
340	13	10	[933]	0
341	9	8	[935]	0
342	7	10	[936]	0
343	8	10	[938]	0
344	15	16	[940]	0
345	11	8	[941]	0
346	6	3	[943]	0
347	17	14	[944]	0
348	15	15	[945]	0
349	8	4	[946]	0
350	8	3	[947]	0
351	4	3	[949]	0
352	4	4	[951]	0
353	3	3	[952]	0
354	17	8	[955]	0
355	16	11	[956]	0
356	16	12	[958]	0
357	13	17	[959]	0
358	6	1	[961]	0
359	7	3	[963]	0
360	1	6	[965]	0
361	2	7	[968]	0
362	9	16	[969]	0
363	4	12	[970]	0
364	9	9	[972]	0
365	8	7	[973]	0
366	1	7	[977]	0
367	2	8	[980]	0
368	14	6	[983]	0
369	13	6	[986]	0
370	4	11	[989]	0
371	1	10	[990]	0
372	3	10	[991]	0
373	15	6	[994]	0
374	14	7	[995]	0
375	15	7	[998]	0
376	1	15	[999]	0
377	2	15	[1000]	0
378	9	14	[1002]	0
379	10	13	[1004]	0
380	7	6	[1008]	0
381	5	6	[1010]	0
382	5	5	[1013]	0
383	3	9	[1014]	0
384	1	12	[1017]	0
385	4	7	[1019]	0
386	1	14	[1020]	0
387	4	14	[1022]	0
388	5	11	[1023]	0
389	9	17	[1026]	0
390	6	13	[1028]	0
391	5	9	[1034]	0
392	9	11	[1035]	0
393	3	11	[1037]	0
394	5	8	[1038]	0
395	14	16	[1040]	0
396	11	7	[1042]	0
397	11	3	[1043]	0
398	11	13	[1045]	0
399	1	16	[1049]	0
400	10	3	[1053]	0
401	9	1	[1054]	0
402	10	6	[1058]	0
403	10	5	[1060]	0
